ID	SzamlaSzam	DevizaNem	ErtekNap	TranzakcioTipus	PartnerNeve	PartnerSzamlaszama	Osszeg	Kozlemeny	_Besorolas
406	11718011-01234028-51450007	HUF	9/29/2017		Konyvelesi teteldij	01234567-98765432	-11		101
407	11718011-01234028-51450007	HUF	10/16/2017		+IZV 00168261201 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
408	11718011-01234028-51450007	HUF	10/17/2017		CASH WITHDRAWAL CAK-LCW/1173/A/0014	01234567-98765432	-50000		111
409	11718011-01234028-51450007	HUF	10/17/2017		CASHIER TRANSACTION FEES CAK-LCW/1173/A/0014	01234567-98765432	-268		101
410	11718011-01234028-51450007	HUF	10/31/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
411	11718011-01234028-51450007	HUF	10/31/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
412	11718011-01234028-51450007	HUF	10/31/2017		Konyvelesi teteldij-PTI	01234567-98765432	-6.17		101
413	11718011-01234028-51450007	HUF	10/31/2017		Konyvelesi teteldij	01234567-98765432	-22		101
414	11718011-01234028-51450007	HUF	10/31/2017		Konyvelesi teteldij-PTIKP	01234567-98765432	-300		101
415	11718011-01234028-51450007	HUF	11/16/2017		+IZV 00171550972 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
416	11718011-01234028-51450007	HUF	11/30/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
417	11718011-01234028-51450007	HUF	11/30/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
418	11718011-01234028-51450007	HUF	11/30/2017		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
419	11718011-01234028-51450007	HUF	11/30/2017		Konyvelesi teteldij	01234567-98765432	-11		101
420	11718011-01234028-51450007	HUF	12/18/2017		+IZV 00175022576 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
421	11718011-01234028-51450007	HUF	12/29/2017		Int.Appl. to   31/12/17	01234567-98765432	6.01		102
422	11718011-01234028-51450007	HUF	12/29/2017		CRT to         31/12/17	01234567-98765432	-0.9		101
423	11718011-01234028-51450007	HUF	12/29/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
424	11718011-01234028-51450007	HUF	12/29/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
425	11718011-01234028-51450007	HUF	12/29/2017		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
426	11718011-01234028-51450007	HUF	12/29/2017		Konyvelesi teteldij	01234567-98765432	-11		101
427	11718011-01234028-51450007	HUF	1/16/2018		+IZV 00178043555 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
428	11718011-01234028-51450007	HUF	1/22/2018		CASH WITHDRAWAL CAK-LCW/1173/A/0036	01234567-98765432	-60000		111
429	11718011-01234028-51450007	HUF	1/22/2018		CASHIER TRANSACTION FEES CAK-LCW/1173/A/0036	01234567-98765432	-268		101
430	11718011-01234028-51450007	HUF	1/31/2018		Szlafenntart./zarlati dij	01234567-98765432	-400		101
431	11718011-01234028-51450007	HUF	1/31/2018		Szamlacsomag havi dij	01234567-98765432	-1059		101
432	11718011-01234028-51450007	HUF	1/31/2018		Konyvelesi teteldij-PTI	01234567-98765432	-6.35		101
433	11718011-01234028-51450007	HUF	1/31/2018		Konyvelesi teteldij	01234567-98765432	-22		101
434	11718011-01234028-51450007	HUF	1/31/2018		Konyvelesi teteldij-PTIKP	01234567-98765432	-360		101
435	11718011-01234028-51450007	HUF	2/16/2018		+IZV 00181368774 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
436	11718011-01234028-51450007	HUF	2/28/2018		Szlafenntart./zarlati dij	01234567-98765432	-400		101
437	11718011-01234028-51450007	HUF	2/28/2018		Szamlacsomag havi dij	01234567-98765432	-1059		101
438	11718011-01234028-51450007	HUF	2/28/2018		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
439	11718011-01234028-51450007	HUF	2/28/2018		Konyvelesi teteldij	01234567-98765432	-11		101
440	11718011-01234028-51450007	HUF	3/9/2018		CASH WITHDRAWAL CAK-LCW/1173/A/0013	01234567-98765432	-50000		111
441	11718011-01234028-51450007	HUF	3/9/2018		CASHIER TRANSACTION FEES CAK-LCW/1173/A/0013	01234567-98765432	-268		101
442	11718011-01234028-51450007	HUF	3/19/2018		+IZV 00184593692 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
443	11718011-01234028-51450007	HUF	3/29/2018		Int.Appl. to   31/03/18	01234567-98765432	4.55		102
444	11718011-01234028-51450007	HUF	3/29/2018		CRT to         31/03/18	01234567-98765432	-0.68		101
445	11718011-01234028-51450007	HUF	3/29/2018		Szlafenntart./zarlati dij	01234567-98765432	-400		101
446	11718011-01234028-51450007	HUF	3/29/2018		Szamlacsomag havi dij	01234567-98765432	-1059		101
447	11718011-01234028-51450007	HUF	3/29/2018		Konyvelesi teteldij-PTI	01234567-98765432	-6.17		101
448	11718011-01234028-51450007	HUF	3/29/2018		Konyvelesi teteldij	01234567-98765432	-22		101
449	11718011-01234028-51450007	HUF	3/29/2018		Konyvelesi teteldij-PTIKP	01234567-98765432	-300		101
450	11718011-01234028-51450007	HUF	4/16/2018		+IZV 00187716991 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
451	11718011-01234028-51450007	HUF	4/27/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
452	11718011-01234028-51450007	HUF	4/27/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
453	11718011-01234028-51450007	HUF	4/27/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
454	11718011-01234028-51450007	HUF	4/27/2018		Konyvelesi teteldij	01234567-98765432	-11		101
455	11718011-01234028-51450007	HUF	5/16/2018		+IZV 00191051296 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
456	11718011-01234028-51450007	HUF	5/22/2018		CASH WITHDRAWAL CAK-LCW/1173/B/0016	01234567-98765432	-20000		111
457	11718011-01234028-51450007	HUF	5/22/2018		CASHIER TRANSACTION FEES CAK-LCW/1173/B/0016	01234567-98765432	-274		101
458	11718011-01234028-51450007	HUF	5/31/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
459	11718011-01234028-51450007	HUF	5/31/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
460	11718011-01234028-51450007	HUF	5/31/2018		Konyvelesi teteldij-PTI	01234567-98765432	-6.59		101
461	11718011-01234028-51450007	HUF	5/31/2018		Konyvelesi teteldij	01234567-98765432	-22		101
462	11718011-01234028-51450007	HUF	5/31/2018		Konyvelesi teteldij-PTIKP	01234567-98765432	-120		101
463	11718011-01234028-51450007	HUF	6/18/2018		+IZV 00194607197 Szekeres Lajos	01234567-98765432	98000		5
464	11718011-01234028-51450007	HUF	6/18/2018		+IZV 00194496402 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
465	11718011-01234028-51450007	HUF	6/29/2018		Int.Appl. to   30/06/18	01234567-98765432	0.06		102
466	11718011-01234028-51450007	HUF	6/29/2018		CRT to         30/06/18	01234567-98765432	-0.01		101
467	11718011-01234028-51450007	HUF	6/29/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
468	11718011-01234028-51450007	HUF	6/29/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
469	11718011-01234028-51450007	HUF	6/29/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.41		101
470	11718011-01234028-51450007	HUF	6/29/2018		Konyvelesi teteldij	01234567-98765432	-22		101
471	11718011-01234028-51450007	HUF	7/16/2018		+IZV 00197656021 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
472	11718011-01234028-51450007	HUF	7/31/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
473	11718011-01234028-51450007	HUF	7/31/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
474	11718011-01234028-51450007	HUF	7/31/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
475	11718011-01234028-51450007	HUF	7/31/2018		Konyvelesi teteldij	01234567-98765432	-11		101
476	11718011-01234028-51450007	HUF	8/16/2018		+IZV 00200942194 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
477	11718011-01234028-51450007	HUF	8/31/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
478	11718011-01234028-51450007	HUF	8/31/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
479	11718011-01234028-51450007	HUF	8/31/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
480	11718011-01234028-51450007	HUF	8/31/2018		Konyvelesi teteldij	01234567-98765432	-11		101
481	11718011-01234028-51450007	HUF	9/17/2018		+IZV 00204069223 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
482	11718011-01234028-51450007	HUF	9/28/2018		Int.Appl. to   30/09/18	01234567-98765432	0.08		102
483	11718011-01234028-51450007	HUF	9/28/2018		CRT to         30/09/18	01234567-98765432	-0.01		101
484	11718011-01234028-51450007	HUF	9/28/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
485	11718011-01234028-51450007	HUF	9/28/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
486	11718011-01234028-51450007	HUF	9/28/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
487	11718011-01234028-51450007	HUF	9/28/2018		Konyvelesi teteldij	01234567-98765432	-11		101
488	11718011-01234028-51450007	HUF	10/16/2018		+IZV 00207371830 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
489	11718011-01234028-51450007	HUF	10/31/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
490	11718011-01234028-51450007	HUF	10/31/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
491	11718011-01234028-51450007	HUF	10/31/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
492	11718011-01234028-51450007	HUF	10/31/2018		Konyvelesi teteldij	01234567-98765432	-11		101
493	11718011-01234028-51450007	HUF	11/16/2018		+IZV 00210603594 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
494	11718011-01234028-51450007	HUF	11/30/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
495	11718011-01234028-51450007	HUF	11/30/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
496	11718011-01234028-51450007	HUF	11/30/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
497	11718011-01234028-51450007	HUF	11/30/2018		Konyvelesi teteldij	01234567-98765432	-11		101
498	11718011-01234028-51450007	HUF	12/17/2018		+IZV 00214043522 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
499	11718011-01234028-51450007	HUF	12/28/2018		Int.Appl. to   31/12/18	01234567-98765432	0.09		102
500	11718011-01234028-51450007	HUF	12/28/2018		CRT to         31/12/18	01234567-98765432	-0.01		101
501	11718011-01234028-51450007	HUF	12/28/2018		Szlafenntart./zarlati dij	01234567-98765432	-690		101
502	11718011-01234028-51450007	HUF	12/28/2018		Szamlacsomag havi dij	01234567-98765432	-1084		101
503	11718011-01234028-51450007	HUF	12/28/2018		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
504	11718011-01234028-51450007	HUF	12/28/2018		Konyvelesi teteldij	01234567-98765432	-11		101
505	11718011-01234028-51450007	HUF	1/16/2019		+IZV 00217183166 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
506	11718011-01234028-51450007	HUF	1/31/2019		Szlafenntart./zarlati dij	01234567-98765432	-690		101
507	11718011-01234028-51450007	HUF	1/31/2019		Szamlacsomag havi dij	01234567-98765432	-1084		101
508	11718011-01234028-51450007	HUF	1/31/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
509	11718011-01234028-51450007	HUF	1/31/2019		Konyvelesi teteldij	01234567-98765432	-11		101
510	11718011-01234028-51450007	HUF	2/18/2019		+IZV 00220597254 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
511	11718011-01234028-51450007	HUF	2/28/2019		Szlafenntart./zarlati dij	01234567-98765432	-690		101
512	11718011-01234028-51450007	HUF	2/28/2019		Szamlacsomag havi dij	01234567-98765432	-1084		101
513	11718011-01234028-51450007	HUF	2/28/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
514	11718011-01234028-51450007	HUF	2/28/2019		Konyvelesi teteldij	01234567-98765432	-11		101
515	11718011-01234028-51450007	HUF	3/18/2019		+IZV 00223847633 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
516	11718011-01234028-51450007	HUF	3/21/2019		+IZV 00224260968 Fisher Karolina	01234567-98765432	30000		2
517	11718011-01234028-51450007	HUF	3/29/2019		Int.Appl. to   31/03/19	01234567-98765432	0.09		102
518	11718011-01234028-51450007	HUF	3/29/2019		CRT to         31/03/19	01234567-98765432	-0.01		101
519	11718011-01234028-51450007	HUF	3/29/2019		Szamlacsomag havi dij	01234567-98765432	-1084		101
520	11718011-01234028-51450007	HUF	3/29/2019		Szlafenntart./zarlati dij	01234567-98765432	-690		101
521	11718011-01234028-51450007	HUF	3/29/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.41		101
522	11718011-01234028-51450007	HUF	3/29/2019		Konyvelesi teteldij	01234567-98765432	-22		101
523	11718011-01234028-51450007	HUF	4/16/2019		+IZV 00227351957 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
524	11718011-01234028-51450007	HUF	4/30/2019		Szamlacsomag havi dij	01234567-98765432	-1084		101
525	11718011-01234028-51450007	HUF	4/30/2019		Szlafenntart./zarlati dij	01234567-98765432	-690		101
526	11718011-01234028-51450007	HUF	4/30/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.37		101
527	11718011-01234028-51450007	HUF	4/30/2019		Konyvelesi teteldij	01234567-98765432	-11		101
528	11718011-01234028-51450007	HUF	5/16/2019		+IZV 00230734699 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
529	11718011-01234028-51450007	HUF	5/31/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
530	11718011-01234028-51450007	HUF	5/31/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
531	11718011-01234028-51450007	HUF	5/31/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.57		101
532	11718011-01234028-51450007	HUF	5/31/2019		Konyvelesi teteldij	01234567-98765432	-11		101
533	11718011-01234028-51450007	HUF	6/17/2019		+IZV 00234196359 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
534	11718011-01234028-51450007	HUF	6/28/2019		Int.Appl. to   30/06/19	01234567-98765432	0.1		102
535	11718011-01234028-51450007	HUF	6/28/2019		CRT to         30/06/19	01234567-98765432	-0.02		101
536	11718011-01234028-51450007	HUF	6/28/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
537	11718011-01234028-51450007	HUF	6/28/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
538	11718011-01234028-51450007	HUF	6/28/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.57		101
539	11718011-01234028-51450007	HUF	6/28/2019		Konyvelesi teteldij	01234567-98765432	-11		101
540	11718011-01234028-51450007	HUF	7/16/2019		+IZV 00237658445 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
541	11718011-01234028-51450007	HUF	7/31/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
542	11718011-01234028-51450007	HUF	7/31/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
543	11718011-01234028-51450007	HUF	7/31/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.57		101
544	11718011-01234028-51450007	HUF	7/31/2019		Konyvelesi teteldij	01234567-98765432	-11		101
545	11718011-01234028-51450007	HUF	8/16/2019		+IZV 00241124525 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
546	11718011-01234028-51450007	HUF	8/30/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
547	11718011-01234028-51450007	HUF	8/30/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
548	11718011-01234028-51450007	HUF	8/30/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.57		101
549	11718011-01234028-51450007	HUF	8/30/2019		Konyvelesi teteldij	01234567-98765432	-11		101
550	11718011-01234028-51450007	HUF	9/16/2019		+IZV 00244277943 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
551	11718011-01234028-51450007	HUF	9/17/2019		+IZV 00244466207 Erdei Eniko	01234567-98765432	75600		7
552	11718011-01234028-51450007	HUF	9/17/2019		+IZV 00244466208 Erdei Eniko	01234567-98765432	75600		7
553	11718011-01234028-51450007	HUF	9/30/2019		Int.Appl. to   30/09/19	01234567-98765432	0.11		102
554	11718011-01234028-51450007	HUF	9/30/2019		CRT to         30/09/19	01234567-98765432	-0.02		101
555	11718011-01234028-51450007	HUF	9/30/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
556	11718011-01234028-51450007	HUF	9/30/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
557	11718011-01234028-51450007	HUF	9/30/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.64		101
558	11718011-01234028-51450007	HUF	9/30/2019		Konyvelesi teteldij	01234567-98765432	-33		101
559	11718011-01234028-51450007	HUF	10/16/2019		+IZV 00247812935 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
560	11718011-01234028-51450007	HUF	10/30/2019		+IZV 00248944039 Erdei Eniko	01234567-98765432	75600		7
561	11718011-01234028-51450007	HUF	10/30/2019		+IZV 00248944700 Erdei Eniko	01234567-98765432	75600		7
562	11718011-01234028-51450007	HUF	10/31/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
563	11718011-01234028-51450007	HUF	10/31/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
564	11718011-01234028-51450007	HUF	10/31/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.64		101
565	11718011-01234028-51450007	HUF	10/31/2019		Konyvelesi teteldij	01234567-98765432	-33		101
566	11718011-01234028-51450007	HUF	11/18/2019		+IZV 00251836217 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
567	11718011-01234028-51450007	HUF	11/29/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
568	11718011-01234028-51450007	HUF	11/29/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
569	11718011-01234028-51450007	HUF	11/29/2019		Konyvelesi teteldij-PTI	01234567-98765432	-5.57		101
570	11718011-01234028-51450007	HUF	11/29/2019		Konyvelesi teteldij	01234567-98765432	-11		101
571	11718011-01234028-51450007	HUF	12/3/2019		+IZV 00253967910 Fisher Karolina	01234567-98765432	310000		2
572	11718011-01234028-51450007	HUF	12/4/2019		+IZV 00254218205 Erdei Eniko	01234567-98765432	3000		7
573	11718011-01234028-51450007	HUF	12/4/2019		+IZV 00254218206 Erdei Eniko	01234567-98765432	226800		7
574	11718011-01234028-51450007	HUF	12/4/2019		+IZV 00254218207 Erdei Eniko	01234567-98765432	12600		7
575	11718011-01234028-51450007	HUF	12/14/2019		CASH DEPOSIT NAGY GEZANE	01234567-98765432	18600		3
576	11718011-01234028-51450007	HUF	12/14/2019		CASHIER TRANSACTION FEES CAK-LCD/1173/A/0010	01234567-98765432	-113		101
577	11718011-01234028-51450007	HUF	12/16/2019		+IZV 00256590251 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
578	11718011-01234028-51450007	HUF	12/18/2019		+IZV 00257013576 ELMu-EMASZ Energiaszolgal	01234567-98765432	-7185		52
579	11718011-01234028-51450007	HUF	12/18/2019		+IZV 00257013583 Fundamenta Lakaskassza Zr	01234567-98765432	-120150		100
580	11718011-01234028-51450007	HUF	12/18/2019		+IZV 00257013584 Balogh Gabor Ervin	01234567-98765432	-7890		0
581	11718011-01234028-51450007	HUF	12/18/2019		+IZV 00257013585 Modorne Toka Zsuzsanna	01234567-98765432	-35814		0
582	11718011-01234028-51450007	HUF	12/18/2019		+IZV 00257013588 ELMu-EMASZ Energiaszolgal	01234567-98765432	-18817		52
583	11718011-01234028-51450007	HUF	12/18/2019		+IZV 00257013589 Szabo Rita	01234567-98765432	-1380		0
584	11718011-01234028-51450007	HUF	12/19/2019		+IZV 00257013579 D&W Kft.	01234567-98765432	-54000		51
585	11718011-01234028-51450007	HUF	12/31/2019		Int.Appl. to   31/12/19	01234567-98765432	0.21		102
586	11718011-01234028-51450007	HUF	12/31/2019		CRT to         31/12/19	01234567-98765432	-0.03		101
587	11718011-01234028-51450007	HUF	12/31/2019		Szamlacsomag havi dij	01234567-98765432	-1124		101
588	11718011-01234028-51450007	HUF	12/31/2019		Szlafenntart./zarlati dij	01234567-98765432	-715		101
589	11718011-01234028-51450007	HUF	12/31/2019		Konyvelesi teteldij-PTI	01234567-98765432	-746.67		101
590	11718011-01234028-51450007	HUF	12/31/2019		Konyvelesi teteldij 'IZV'	01234567-98765432	-77		101
591	11718011-01234028-51450007	HUF	12/31/2019		Atutalasi Jut -SpectraNet	01234567-98765432	-814.97		101
592	11718011-01234028-51450007	HUF	12/31/2019		Konyvelesi teteldij	01234567-98765432	-66		101
593	11718011-01234028-51450007	HUF	1/2/2020		+IZV 00258587592 Erdei Eniko	01234567-98765432	9300		7
594	11718011-01234028-51450007	HUF	1/6/2020		+IZV 00258955315 Smith Pal	01234567-98765432	18600		1
595	11718011-01234028-51450007	HUF	1/8/2020		+IZV 00259378719 Bak Attila	01234567-98765432	-96000		0
596	11718011-01234028-51450007	HUF	1/14/2020		+IZV 00260912071 Szekeres Lajos	01234567-98765432	10156		2
597	11718011-01234028-51450007	HUF	1/16/2020		+IZV 00261299608 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
598	11718011-01234028-51450007	HUF	1/20/2020		+IZV 00261913397 Smith Pal	01234567-98765432	10080		1
599	11718011-01234028-51450007	HUF	1/20/2020		+IZV 00261900911 Erdei Eniko	01234567-98765432	10080		7
600	11718011-01234028-51450007	HUF	1/31/2020		Szamlacsomag havi dij	01234567-98765432	-1124		101
601	11718011-01234028-51450007	HUF	1/31/2020		Szlafenntart./zarlati dij	01234567-98765432	-715		101
602	11718011-01234028-51450007	HUF	1/31/2020		Konyvelesi teteldij-PTI	01234567-98765432	-294.97		101
603	11718011-01234028-51450007	HUF	1/31/2020		Konyvelesi teteldij 'IZV'	01234567-98765432	-11		101
604	11718011-01234028-51450007	HUF	1/31/2020		Atutalasi Jut -SpectraNet	01234567-98765432	-113		101
605	11718011-01234028-51450007	HUF	1/31/2020		Konyvelesi teteldij	01234567-98765432	-66		101
606	11718011-01234028-51450007	HUF	2/3/2020		+IZV 00264624637 Erdei Eniko	01234567-98765432	14340		7
607	11718011-01234028-51450007	HUF	2/12/2020		+IZV 00267622446 Smith Pal	01234567-98765432	28680		1
608	11718011-01234028-51450007	HUF	2/14/2020		+IZV 00267869820 Szekeres Lajos	01234567-98765432	10156		2
609	11718011-01234028-51450007	HUF	2/17/2020		+IZV 00268224139 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
610	11718011-01234028-51450007	HUF	2/20/2020		+IZV 00268858976 Modorine Toka Zsuzsanna	01234567-98765432	-22606		0
611	11718011-01234028-51450007	HUF	2/20/2020		+IZV 00268858977 DBH	01234567-98765432	-56653		52
612	11718011-01234028-51450007	HUF	2/20/2020		+IZV 00268858979  D&W  Kft.	01234567-98765432	-27000		51
613	11718011-01234028-51450007	HUF	2/29/2020		Szlafenntart./zarlati dij	01234567-98765432	-715		101
614	11718011-01234028-51450007	HUF	2/29/2020		Szamlacsomag havi dij	01234567-98765432	-1124		101
615	11718011-01234028-51450007	HUF	2/29/2020		Konyvelesi teteldij-PTI	01234567-98765432	-326.53		101
616	11718011-01234028-51450007	HUF	2/29/2020		Konyvelesi teteldij 'IZV'	01234567-98765432	-33		101
617	11718011-01234028-51450007	HUF	2/29/2020		Atutalasi Jut -SpectraNet	01234567-98765432	-339		101
618	11718011-01234028-51450007	HUF	2/29/2020		Konyvelesi teteldij	01234567-98765432	-44		101
619	11718011-01234028-51450007	HUF	3/2/2020		+IZV 00271730064 Erdei Eniko	01234567-98765432	14340		7
620	11718011-01234028-51450007	HUF	3/4/2020		+IZV 00272066122  D&W  Kft	01234567-98765432	-27000		51
621	11718011-01234028-51450007	HUF	3/16/2020		+IZV 00274001991 NAGY GEZANE	01234567-98765432	108784		3
622	11718011-01234028-51450007	HUF	3/16/2020		+IZV 00273864499 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
623	11718011-01234028-51450007	HUF	3/16/2020		+IZV 00273856773 Szekeres Lajos	01234567-98765432	10156		2
624	11718011-01234028-51450007	HUF	3/31/2020		Int.Appl. to   31/03/20	01234567-98765432	0.25		102
625	11718011-01234028-51450007	HUF	3/31/2020		CRT to         31/03/20	01234567-98765432	-0.04		101
626	11718011-01234028-51450007	HUF	3/31/2020		Szlafenntart./zarlati dij	01234567-98765432	-715		101
627	11718011-01234028-51450007	HUF	3/31/2020		Szamlacsomag havi dij	01234567-98765432	-1124		101
628	11718011-01234028-51450007	HUF	3/31/2020		Konyvelesi teteldij-PTI	01234567-98765432	-88.77		101
629	11718011-01234028-51450007	HUF	3/31/2020		Konyvelesi teteldij 'IZV'	01234567-98765432	-11		101
630	11718011-01234028-51450007	HUF	3/31/2020		Allando megbizas dija	01234567-98765432	-107		101
631	11718011-01234028-51450007	HUF	3/31/2020		Konyvelesi teteldij	01234567-98765432	-44		101
632	11718011-01234028-51450007	HUF	3/31/2020		Allando megbizas - elekt. Befogadas 20200220 1	01234567-98765432	-500		101
633	11718011-01234028-51450007	HUF	4/2/2020		+IZV 00275538081 Erdei Eniko	01234567-98765432	14340		7
634	11718011-01234028-51450007	HUF	4/3/2020		+IZV 00275704188  D&W  Kft	01234567-98765432	-27000		51
635	11718011-01234028-51450007	HUF	4/14/2020		+IZV 00277029980 Szekeres Lajos	01234567-98765432	10156		2
636	11718011-01234028-51450007	HUF	4/16/2020		+IZV 00277422128 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
637	11718011-01234028-51450007	HUF	4/17/2020		+IZV 00277632143 ESZTFO Bt.	01234567-98765432	-26670		0
638	11718011-01234028-51450007	HUF	4/23/2020	Bejovo forint atutalas	NAGY GEZANE	01234567-98765432	28680	NAGY GEZANE                     2020 aprilis, majus kozos koltseg	3
639	11718011-01234028-51450007	HUF	4/30/2020		Szlafenntart./zarlati dij	01234567-98765432	-715		101
640	11718011-01234028-51450007	HUF	4/30/2020		Szamlacsomag havi dij	01234567-98765432	-1124		101
641	11718011-01234028-51450007	HUF	4/30/2020		Konyvelesi teteldij-PTI	01234567-98765432	-167.85		101
642	11718011-01234028-51450007	HUF	4/30/2020		Konyvelesi teteldij 'IZV'	01234567-98765432	-11		101
643	11718011-01234028-51450007	HUF	4/30/2020		Atutalasi Jut -SpectraNet	01234567-98765432	-113		101
644	11718011-01234028-51450007	HUF	4/30/2020		Allando megbizas dija	01234567-98765432	-107		101
645	11718011-01234028-51450007	HUF	4/30/2020		Konyvelesi teteldij	01234567-98765432	-44		101
646	11718011-01234028-51450007	HUF	5/4/2020	Bejovo forint atutalas	Erdei Eniko	01234567-98765432	14340	Kisvarday-Papp kozos ktsg	7
647	11718011-01234028-51450007	HUF	5/4/2020	Kimeno forint atutalas	 D&W  Kft	01234567-98765432	-27000	kozos kepviseleti dij	51
648	11718011-01234028-51450007	HUF	5/14/2020	Bejovo forint atutalas	Szekeres Lajos	01234567-98765432	10156	FSZT 2. KOZOS KSG JANUAR	2
649	11718011-01234028-51450007	HUF	5/18/2020	Bejovo forint atutalas	Bond Jakab ES NEJE   LAFO	01234567-98765432	6300	KOZOS KTG uF.SZ. 285145	9
650	11718011-01234028-51450007	HUF	5/31/2020		Szlafenntart./zarlati dij	01234567-98765432	-748		101
651	11718011-01234028-51450007	HUF	5/31/2020		Szamlacsomag havi dij	01234567-98765432	-1176		101
652	11718011-01234028-51450007	HUF	5/31/2020		Konyvelesi teteldij-PTI	01234567-98765432	-87.48		101
